Month,Field Production of Crude Oil (Thousands of Barrels per Day),,,,,,
"Jun 1957,71",10,,,,,,
"May 1957,74",34,,,,,,
"Apr 1957,75",46,,,,,,
"Mar 1957,76",93,,,,,,
"Feb 1957,76",77,,,,,,
"Jan 1957,74",72,,,,,,
"Dec 1956,73",77,,,,,,
"Nov 1956,71",48,,,,,,
"Oct 1956,69",54,,,,,,
"Sep 1956,70",53,,,,,,
"Aug 1956,71",95,,,,,,
"Jul 1956,70",89,,,,,,
"Jun 1956,71",0,,,,,,
"May 1956,70",63,,,,,,
"Apr 1956,71",47,,,,,,
"Mar 1956,72",79,,,,,,
"Feb 1956,72",10,,,,,,
"Jan 1956,71",98,,,,,,
"Dec 1955,71",57,,,,,,
"Nov 1955,70",15,,,,,,
"Oct 1955,68",34,,,,,,
"Sep 1955,67",35,,,,,,
"Aug 1955,66",65,,,,,,
"Jul 1955,66",33,,,,,,
"Jun 1955,65",95,,,,,,
"May 1955,66",80,,,,,,
"Apr 1955,68",89,,,,,,
"Mar 1955,68",86,,,,,,
"Feb 1955,68",34,,,,,,
"Jan 1955,67",61,,,,,,
"Dec 1954,63",91,,,,,,
"Nov 1954,63",46,,,,,,
"Oct 1954,61",20,,,,,,
"Sep 1954,61",44,,,,,,
"Aug 1954,61",42,,,,,,
"Jul 1954,62",61,,,,,,
"Jun 1954,64",99,,,,,,
"May 1954,64",72,,,,,,
"Apr 1954,66",17,,,,,,
"Mar 1954,65",8,,,,,,
"Feb 1954,63",80,,,,,,
"Jan 1954,62",40,,,,,,
"Dec 1953,62",37,,,,,,
"Nov 1953,62",71,,,,,,
"Oct 1953,62",49,,,,,,
"Sep 1953,65",52,,,,,,
"Aug 1953,65",96,,,,,,
"Jul 1953,66",4,,,,,,
"Jun 1953,65",88,,,,,,
"May 1953,63",91,,,,,,
"Apr 1953,63",98,,,,,,
"Mar 1953,65",17,,,,,,
"Feb 1953,65",42,,,,,,
"Jan 1953,65",55,,,,,,
"Dec 1952,66",42,,,,,,
"Nov 1952,64",61,,,,,,
"Oct 1952,65",3,,,,,,
"Sep 1952,65",20,,,,,,
"Aug 1952,62",18,,,,,,
"Jul 1952,60",96,,,,,,
"Jun 1952,61",90,,,,,,
"May 1952,50",89,,,,,,
"Apr 1952,64",31,,,,,,
"Mar 1952,63",59,,,,,,
"Feb 1952,63",73,,,,,,
"Jan 1952,62",21,,,,,,
"Dec 1951,61",93,,,,,,
"Nov 1951,62",83,,,,,,
"Oct 1951,63",92,,,,,,
"Sep 1951,62",67,,,,,,
"Aug 1951,62",43,,,,,,
"Jul 1951,61",49,,,,,,
"Jun 1951,61",35,,,,,,
"May 1951,61",81,,,,,,
"Apr 1951,61",29,,,,,,
"Mar 1951,60",57,,,,,,
"Feb 1951,59",34,,,,,,
"Jan 1951,59",17,,,,,,
"Dec 1950,57",25,,,,,,
"Nov 1950,58",93,,,,,,
"Oct 1950,59",4,,,,,,
"Sep 1950,58",90,,,,,,
"Aug 1950,56",84,,,,,,
"Jul 1950,54",86,,,,,,
"Jun 1950,53",77,,,,,,
"May 1950,51",47,,,,,,
"Apr 1950,49",72,,,,,,
"Mar 1950,48",81,,,,,,
"Feb 1950,49",69,,,,,,
"Jan 1950,49",33,,,,,,
"Dec 1949,50",27,,,,,,
"Nov 1949,52",17,,,,,,
"Oct 1949,50",15,,,,,,
"Sep 1949,49",43,,,,,,
"Aug 1949,47",86,,,,,,
"Jul 1949,46",95,,,,,,
"Jun 1949,49",9,,,,,,
"May 1949,49",76,,,,,,
"Apr 1949,50",11,,,,,,
"Mar 1949,52",39,,,,,,
"Feb 1949,53",82,,,,,,
"Jan 1949,53",88,,,,,,
"Dec 1948,57",22,,,,,,
"Nov 1948,56",93,,,,,,
"Oct 1948,56",44,,,,,,
"Sep 1948,54",41,,,,,,
"Aug 1948,55",81,,,,,,
"Jul 1948,55",28,,,,,,
"Jun 1948,55",48,,,,,,
"May 1948,55",7,,,,,,
"Apr 1948,54",91,,,,,,
"Mar 1948,54",15,,,,,,
"Feb 1948,53",65,,,,,,
"Jan 1948,52",93,,,,,,
"Dec 1947,53",40,,,,,,
"Nov 1947,52",90,,,,,,
"Oct 1947,53",24,,,,,,
"Sep 1947,52",56,,,,,,
"Aug 1947,51",76,,,,,,
"Jul 1947,51",41,,,,,,
"Jun 1947,51",2,,,,,,
"May 1947,50",34,,,,,,
"Apr 1947,49",80,,,,,,
"Mar 1947,49",9,,,,,,
"Feb 1947,48",11,,,,,,
"Jan 1947,46",72,,,,,,
"Dec 1946,47",25,,,,,,
"Nov 1946,48",22,,,,,,
"Oct 1946,47",85,,,,,,
"Sep 1946,47",90,,,,,,
"Aug 1946,48",36,,,,,,
"Jul 1946,49",22,,,,,,
"Jun 1946,48",96,,,,,,
"May 1946,47",85,,,,,,
"Apr 1946,46",73,,,,,,
"Mar 1946,44",14,,,,,,
"Feb 1946,47",19,,,,,,
"Jan 1946,46",25,,,,,,
"Dec 1945,44",72,,,,,,
"Nov 1945,45",17,,,,,,
"Oct 1945,42",84,,,,,,
"Sep 1945,44",23,,,,,,
"Aug 1945,48",77,,,,,,
"Jul 1945,48",97,,,,,,
"Jun 1945,48",59,,,,,,
"May 1945,48",77,,,,,,
"Apr 1945,48",7,,,,,,
"Mar 1945,48",4,,,,,,
"Feb 1945,47",67,,,,,,
"Jan 1945,47",56,,,,,,
"Dec 1944,46",88,,,,,,
"Nov 1944,47",49,,,,,,
"Oct 1944,47",39,,,,,,
"Sep 1944,47",66,,,,,,
"Aug 1944,46",91,,,,,,
"Jul 1944,45",63,,,,,,
"Jun 1944,45",75,,,,,,
"May 1944,45",54,,,,,,
"Apr 1944,44",53,,,,,,
"Mar 1944,44",13,,,,,,
"Feb 1944,44",43,,,,,,
"Jan 1944,43",77,,,,,,
"Dec 1943,43",64,,,,,,
"Nov 1943,44",61,,,,,,
"Oct 1943,44",14,,,,,,
"Sep 1943,43",52,,,,,,
"Aug 1943,42",19,,,,,,
"Jul 1943,41",17,,,,,,
"Jun 1943,40",4,,,,,,
"May 1943,39",99,,,,,,
"Apr 1943,39",70,,,,,,
"Mar 1943,39",24,,,,,,
"Feb 1943,38",75,,,,,,
"Jan 1943,37",86,,,,,,
"Dec 1942,38",88,,,,,,
"Nov 1942,38",70,,,,,,
"Oct 1942,38",81,,,,,,
"Sep 1942,38",60,,,,,,
"Aug 1942,38",85,,,,,,
"Jul 1942,36",6,,,,,,
"Jun 1942,36",20,,,,,,
"May 1942,35",55,,,,,,
"Apr 1942,35",2,,,,,,
"Mar 1942,36",93,,,,,,
"Feb 1942,40",70,,,,,,
"Jan 1942,41",37,,,,,,
"Dec 1941,41",38,,,,,,
"Nov 1941,41",12,,,,,,
"Oct 1941,40",69,,,,,,
"Sep 1941,39",82,,,,,,
"Aug 1941,39",15,,,,,,
"Jul 1941,38",15,,,,,,
"Jun 1941,38",34,,,,,,
"May 1941,37",73,,,,,,
"Apr 1941,37",3,,,,,,
"Mar 1941,36",39,,,,,,
"Feb 1941,36",0,,,,,,
"Jan 1941,35",69,,,,,,
"Dec 1940,43",60,,,,,,
"Nov 1940,44",55,,,,,,
"Oct 1940,44",3,,,,,,
"Sep 1940,43",47,,,,,,
"Aug 1940,42",14,,,,,,
"Jul 1940,41",13,,,,,,
"Jun 1940,39",77,,,,,,
"May 1940,39",95,,,,,,
"Apr 1940,39",67,,,,,,
"Mar 1940,39",21,,,,,,
"Feb 1940,37",38,,,,,,
"Jan 1940,37",82,,,,,,
"Dec 1939,37",4,,,,,,
"Nov 1939,37",30,,,,,,
"Oct 1939,36",84,,,,,,
"Sep 1939,36",6,,,,,,
"Aug 1939,26",9,,,,,,
"Jul 1939,35",79,,,,,,
"Jun 1939,34",87,,,,,,
"May 1939,35",66,,,,,,
"Apr 1939,35",17,,,,,,
"Mar 1939,34",44,,,,,,
"Feb 1939,33",38,,,,,,
"Jan 1939,33",6,,,,,,
"Dec 1938,33",0,,,,,,
"Nov 1938,32",86,,,,,,
"Oct 1938,32",85,,,,,,
"Sep 1938,32",89,,,,,,
"Aug 1938,34",25,,,,,,
"Jul 1938,33",19,,,,,,
"Jun 1938,31",43,,,,,,
"May 1938,31",83,,,,,,
"Apr 1938,34",23,,,,,,
"Mar 1938,34",36,,,,,,
"Feb 1938,33",81,,,,,,
"Jan 1938,34",20,,,,,,
"Dec 1937,34",38,,,,,,
"Nov 1937,34",74,,,,,,
"Oct 1937,35",78,,,,,,
"Sep 1937,36",66,,,,,,
"Aug 1937,37",13,,,,,,
"Jul 1937,35",72,,,,,,
"Jun 1937,35",27,,,,,,
"May 1937,35",78,,,,,,
"Apr 1937,34",99,,,,,,
"Mar 1937,34",43,,,,,,
"Feb 1937,33",28,,,,,,
"Jan 1937,31",80,,,,,,
"Dec 1936,31",50,,,,,,
"Nov 1936,30",34,,,,,,
"Oct 1936,30",90,,,,,,
"Sep 1936,30",32,,,,,,
"Aug 1936,30",67,,,,,,
"Jul 1936,29",70,,,,,,
"Jun 1936,30",6,,,,,,
"May 1936,30",24,,,,,,
"Apr 1936,30",16,,,,,,
"Mar 1936,29",22,,,,,,
"Feb 1936,28",32,,,,,,
"Jan 1936,28",65,,,,,,
"Dec 1935,28",62,,,,,,
"Nov 1935,28",83,,,,,,
"Oct 1935,28",44,,,,,,
"Sep 1935,28",4,,,,,,
"Aug 1935,27",36,,,,,,
"Jul 1935,27",58,,,,,,
"Jun 1935,27",45,,,,,,
"May 1935,26",60,,,,,,
"Apr 1935,26",14,,,,,,
"Mar 1935,26",29,,,,,,
"Feb 1935,25",99,,,,,,
"Jan 1935,25",39,,,,,,
"Dec 1934,24",13,,,,,,
"Nov 1934,24",13,,,,,,
"Oct 1934,24",71,,,,,,
"Sep 1934,25",25,,,,,,
"Aug 1934,25",52,,,,,,
"Jul 1934,26",24,,,,,,
"Jun 1934,26",55,,,,,,
"May 1934,25",80,,,,,,
"Apr 1934,25",22,,,,,,
"Mar 1934,24",33,,,,,,
"Feb 1934,23",35,,,,,,
"Jan 1934,23",23,,,,,,
"Dec 1933,23",28,,,,,,
"Nov 1933,23",32,,,,,,
"Oct 1933,24",54,,,,,,
"Sep 1933,26",11,,,,,,
"Aug 1933,27",58,,,,,,
"Jul 1933,27",52,,,,,,
"Jun 1933,28",13,,,,,,
"May 1933,27",95,,,,,,
"Apr 1933,21",90,,,,,,
"Mar 1933,24",25,,,,,,
"Feb 1933,21",88,,,,,,
"Jan 1933,21",2,,,,,,
"Dec 1932,18",80,,,,,,
"Nov 1932,21",21,,,,,,
"Oct 1932,21",16,,,,,,
"Sep 1932,21",84,,,,,,
"Aug 1932,21",47,,,,,,
"Jul 1932,21",50,,,,,,
"Jun 1932,21",71,,,,,,
"May 1932,22",21,,,,,,
"Apr 1932,22",64,,,,,,
"Mar 1932,21",76,,,,,,
"Feb 1932,21",56,,,,,,
"Jan 1932,21",62,,,,,,
"Dec 1931,23",65,,,,,,
"Nov 1931,24",49,,,,,,
"Oct 1931,23",64,,,,,,
"Sep 1931,21",46,,,,,,
"Aug 1931,21",94,,,,,,
"Jul 1931,25",23,,,,,,
"Jun 1931,25",0,,,,,,
"May 1931,24",78,,,,,,
"Apr 1931,24",29,,,,,,
"Mar 1931,22",40,,,,,,
"Feb 1931,21",62,,,,,,
"Jan 1931,21",21,,,,,,
"Dec 1930,21",60,,,,,,
"Nov 1930,22",65,,,,,,
"Oct 1930,23",51,,,,,,
"Sep 1930,23",74,,,,,,
"Aug 1930,24",14,,,,,,
"Jul 1930,24",81,,,,,,
"Jun 1930,25",69,,,,,,
"May 1930,25",98,,,,,,
"Apr 1930,25",83,,,,,,
"Mar 1930,25",23,,,,,,
"Feb 1930,26",53,,,,,,
"Jan 1930,25",69,,,,,,
"Dec 1929,26",10,,,,,,
"Nov 1929,26",25,,,,,,
"Oct 1929,28",53,,,,,,
"Sep 1929,29",15,,,,,,
"Aug 1929,29",73,,,,,,
"Jul 1929,29",45,,,,,,
"Jun 1929,27",80,,,,,,
"May 1929,27",26,,,,,,
"Apr 1929,26",80,,,,,,
"Mar 1929,26",60,,,,,,
"Feb 1929,26",95,,,,,,
"Jan 1929,26",47,,,,,,
"Dec 1928,25",64,,,,,,
"Nov 1928,25",37,,,,,,
"Oct 1928,25",73,,,,,,
"Sep 1928,25",49,,,,,,
"Aug 1928,25",10,,,,,,
"Jul 1928,24",38,,,,,,
"Jun 1928,24",23,,,,,,
"May 1928,24",28,,,,,,
"Apr 1928,24",13,,,,,,
"Mar 1928,24",4,,,,,,
"Feb 1928,23",64,,,,,,
"Jan 1928,23",48,,,,,,
"Dec 1927,24",18,,,,,,
"Nov 1927,24",83,,,,,,
"Oct 1927,25",1,,,,,,
"Sep 1927,25",30,,,,,,
"Aug 1927,25",42,,,,,,
"Jul 1927,25",41,,,,,,
"Jun 1927,25",10,,,,,,
"May 1927,24",79,,,,,,
"Apr 1927,24",38,,,,,,
"Mar 1927,24",36,,,,,,
"Feb 1927,24",33,,,,,,
"Jan 1927,23",15,,,,,,
"Dec 1926,23",43,,,,,,
"Nov 1926,23",30,,,,,,
"Oct 1926,22",47,,,,,,
"Sep 1926,21",93,,,,,,
"Aug 1926,21",62,,,,,,
"Jul 1926,21",2,,,,,,
"Jun 1926,20",60,,,,,,
"May 1926,20",27,,,,,,
"Apr 1926,20",12,,,,,,
"Mar 1926,19",64,,,,,,
"Feb 1926,19",60,,,,,,
"Jan 1926,19",35,,,,,,
"Dec 1925,16",1,,,,,,
"Nov 1925,16",64,,,,,,
"Oct 1925,16",70,,,,,,
"Sep 1925,17",19,,,,,,
"Aug 1925,16",84,,,,,,
"Jul 1925,16",82,,,,,,
"Jun 1925,17",31,,,,,,
"May 1925,17",22,,,,,,
"Apr 1925,17",30,,,,,,
"Mar 1925,17",29,,,,,,
"Feb 1925,17",35,,,,,,
"Jan 1925,17",36,,,,,,
"Dec 1924,18",53,,,,,,
"Nov 1924,18",93,,,,,,
"Oct 1924,19",51,,,,,,
"Sep 1924,20",13,,,,,,
"Aug 1924,20",13,,,,,,
"Jul 1924,19",98,,,,,,
"Jun 1924,19",86,,,,,,
"May 1924,19",95,,,,,,
"Apr 1924,19",94,,,,,,
"Mar 1924,19",40,,,,,,
"Feb 1924,19",27,,,,,,
"Jan 1924,18",48,,,,,,
"Dec 1923,19",21,,,,,,
"Nov 1923,21",80,,,,,,
"Oct 1923,21",78,,,,,,
"Sep 1923,21",77,,,,,,
"Aug 1923,21",43,,,,,,
"Jul 1923,21",27,,,,,,
"Jun 1923,20",95,,,,,,
"May 1923,20",12,,,,,,
"Apr 1923,19",67,,,,,,
"Mar 1923,18",38,,,,,,
"Feb 1923,17",35,,,,,,
"Jan 1923,16",94,,,,,,
"Dec 1922,16",34,,,,,,
"Nov 1922,16",1,,,,,,
"Oct 1922,15",62,,,,,,
"Sep 1922,15",27,,,,,,
"Aug 1922,15",18,,,,,,
"Jul 1922,15",20,,,,,,
"Jun 1922,15",36,,,,,,
"May 1922,15",16,,,,,,
"Apr 1922,15",6,,,,,,
"Mar 1922,15",22,,,,,,
"Feb 1922,14",76,,,,,,
"Jan 1922,14",10,,,,,,
"Dec 1921,13",60,,,,,,
"Nov 1921,12",70,,,,,,
"Oct 1921,11",56,,,,,,
"Sep 1921,12",25,,,,,,
"Aug 1921,13",26,,,,,,
"Jul 1921,13",5,,,,,,
"Jun 1921,13",52,,,,,,
"May 1921,13",61,,,,,,
"Apr 1921,13",41,,,,,,
"Mar 1921,13",26,,,,,,
"Feb 1921,12",69,,,,,,
"Jan 1921,12",30,,,,,,
"Dec 1920,12",57,,,,,,
"Nov 1920,12",87,,,,,,
"Oct 1920,12",77,,,,,,
"Sep 1920,12",51,,,,,,
"Aug 1920,12",55,,,,,,
"Jul 1920,12",18,,,,,,
"Jun 1920,12",22,,,,,,
"May 1920,11",81,,,,,,
"Apr 1920,11",65,,,,,,
"Mar 1920,11",67,,,,,,
"Feb 1920,11",45,,,,,,
"Jan 1920,10",97,,,,,,
